Name, Group, MainNote1, MainNote2, MainNote3, Season, Time, Longevity, Sillage, Rate, Count
Acqua di Parma Colonia Acqua di Parma for women and men,Citrus,Sicilian Citruses,Lavender,Rosemary,Spring/Summer,Day,moderate,moderate,4.18,1142
Acqua di Parma Colonia Assoluta Acqua di Parma for women and men,Citrus Aromatic,Bitter Orange,Bergamot,Ylang-Ylang,Spring/Summer,Day,moderate,moderate,4.19,667
Acqua di Parma Colonia Assoluta Edizione Speciale 2011 Acqua di Parma for women and men,Citrus,Lavender,Rosemary,Jasmine,Spring/Summer,Day,weak,heavy,4.25,11
Acqua di Parma Colonia Edizione Centenario Acqua di Parma for women and men,Citrus,Lavender,Vetiver,Musk,Spring/Summer,Day,long lasting,heavy,4.50,4
Acqua di Parma Colonia Pura Acqua di Parma for women and men,Citrus Aromatic,Ozonic notes,Bergamot,Orange,Spring/Summer,Day,moderate,moderate,3.98,160
Acqua di Parma Gelsomino Nobile Acqua di Parma for women,Floral Woody Musk,Jasmine,Tuberose,Orange Blossom,Spring/Summer,Day,moderate,moderate,4.08,354
Acqua di Parma Iris Nobile Acqua di Parma for women,Floral Woody Musk,iris,Tuberose,Orange Blossom,All Season,Day,moderate,moderate,3.98,892
Acqua di Parma Iris Nobile Edizione Speciale 2008 Acqua di Parma for women,Floral Woody Musk,iris,Oakmoss,Patchouli,Fall/Winter,Day,long lasting,heavy,4.02,60
Acqua di Parma Magnolia Nobile Acqua di Parma for women,Floral Fruity,Magnolia,Citron,Lemon,Spring/Summer,Day,long lasting,moderate,4.18,632
Acqua di Parma Magnolia Nobile Special Edition Acqua di Parma for women,Floral,Magnolia,Jasmine,Vanille,Spring/Summer,All Time,moderate,heavy,4.00,16
Acqua di Parma Profumo Acqua di Parma for women,Woody Chypre,Ylang-Ylang,iris,Jasmine,Fall/Winter,All Time,long lasting,heavy,4.09,130
Acqua di Parma Profumo 2008 Acqua di Parma for women,Woody Chypre,Jasmine,Ylang-Ylang,Oakmoss,All Season,All Time,long lasting,heavy,4.14,58
Colonia Assoluta In Villa Acqua di Parma for women and men,Aromatic Spicy,Citruses,Woodsy Notes,Spices,Spring/Summer,Day,long lasting,moderate,4.56,20
Colonia Club Acqua di Parma for women and men,Woody Aromatic,Mint,Lavender,Bergamot,Spring/Summer,Day,moderate,moderate,3.78,280
Colonia Essenza Special Edition 2015 Acqua di Parma for men,Citrus Aromatic,Neroli,Mandarin Orange,Moss,Spring/Summer,Day,long lasting,heavy,4.50,23
Colonia Intensa Acqua di Parma for men,Woody,Citruses,Bergamot,Cardamom,Spring/Summer,Day,moderate,moderate,4.25,632
Essenza di Colonia Acqua di Parma for men,Citrus Aromatic,Neroli,Bergamot,Grapefruit,Spring/Summer,Day,long lasting,moderate,4.36,952
Gelsomino Nobile Edizione Speciale Acqua di Parma for women,Floral Woody Musk,Jasmine,Tuberose,Mandarin Orange,Spring/Summer,Day,moderate,moderate,3.44,11
Iris Nobile 10th Anniversary Special Edition Acqua di Parma for women,Floral Woody Musk,Iris Flower,Ylang-Ylang,Star Anise,All Season,Day,long lasting,moderate,4.55,16
Iris Nobile Edizione Speziale Acqua di Parma for women,Chypre Floral,iris,Ylang-Ylang,Mandarin Orange,All Season,All Time,long lasting,moderate,4.27,21
Iris Nobile Sublime Acqua di Parma for women,Floral,Tuscan Iris,Neroli,Orange Blossom,All Season,Day,moderate,heavy,4.08,146
Magnolia Nobile Special Edition Acqua di Parma for women,Floral,Magnolia,Citruses,Jasmine,Spring/Summer,All Time,moderate,heavy,4.89,12
Magnolia Nobile Special Edition 2016 Acqua di Parma for women,Floral,Magnolia,Jasmine,Bergamot,All Season,Night,weak,heavy,4.00,7
Peonia Nobile Acqua di Parma for women,Floral,Peony,Turkish Rose,Raspberry,Spring/Summer,Day,moderate,heavy,3.87,164
Peonia Nobile Edizione Speciale Acqua di Parma for women,Chypre Floral,Peony,Amber,Raspberry,Spring/Summer,Day,moderate,heavy,4.13,9
Profumo Eau de Parfum Acqua di Parma for women,Woody Chypre,Ylang-Ylang,Labdanum,Bulgarian Rose,Fall/Winter,All Time,long lasting,heavy,4.40,103
Rosa Nobile Acqua di Parma for women,Floral Woody Musk,Rose,Peony,Musk,Spring/Summer,Day,moderate,moderate,3.96,329
Rosa Nobile Edizione Speciale Acqua di Parma for women,Floral,Rose,Peony,Mandarin Orange,All Season,Day,weak,moderate,3.33,7
Acqua Nobile Gelsomino Acqua di Parma for women,Floral,Jasmine,Neroli,Petitgrain,Spring/Summer,Day,moderate,moderate,4.12,79
Acqua Nobile Iris Acqua di Parma for women,Floral,iris,Citron,Orange Blossom,Spring/Summer,Day,moderate,moderate,4.07,97
Acqua Nobile Magnolia Acqua di Parma for women,Floral,Magnolia,Citron,Lemon,Spring/Summer,Day,weak,moderate,4.08,88
Acqua Nobile Rosa Acqua di Parma for women,Floral,Rose,Musk,Mandarin Orange,Spring/Summer,Day,moderate,heavy,4.12,52
Acqua di Parma Blu Mediterraneo - Cipresso di Toscana Acqua di Parma for women and men,Woody Aromatic,Cypress,Pine Tree,Lavender,Spring/Summer,Day,moderate,moderate,4.02,200
Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parma for women and men,Floral Fruity,Fig Nectar,Fig Tree,Grapefruit,Spring/Summer,Day,moderate,moderate,4.32,1192
Acqua di Parma Blu Mediterraneo - Ginepro di Sardegna Acqua di Parma for women and men,Woody Aromatic,Juniper,Virginia Cedar,Allspice,Spring/Summer,Day,moderate,moderate,4.12,353
Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia Acqua di Parma for women and men,Oriental Floral,Green Almond,Bourbon Vanilla,Star Anise,All Season,Day,moderate,moderate,4.11,1291
Acqua di Parma Blu Mediterraneo Arancia di Capri Acqua di Parma for women and men,Citrus Aromatic,Orange,Sicilian Mandarin,Petitgrain,Summer,Day,moderate,moderate,4.09,680
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma for women and men,Woody Aromatic,Bergamot,Citron,Ginger,Summer,Day,weak,moderate,4.12,523
Acqua di parma Blue Mediterraneo - Mirto di Panarea Acqua di Parma for women and men,Woody Aromatic,Myrtle,Lemon,Bergamot,Spring/Summer,Day,moderate,moderate,4.17,674
